% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
2328; -0.000110545; 0.352308; -0.000190826; 1.17989; 0.000170739; 1.60919; 1.57147; -0.202085; -3.213860; -2.590240; 0.074940; -0.003658; 0.004093; 0; 1; 61952216; 0; -1; -389.511; 0.0738596; 446.824; -179.988; 0.00601042; 89.9454
2390; -0.000110545; 0.352619; -0.000190826; 1.17779; 0.000170739; 1.6116; 1.57147; -0.185269; -3.199335; -2.582884; 0.074457; -0.003218; 0.004089; 0; 1; 61952503; 0; -1; -389.48; 0.0738073; 447.283; 179.976; 0.00598277; 89.9454
2421; -0.000110545; 0.352734; -0.000190826; 1.17594; 0.000170739; 1.61323; 1.57147; -0.164353; -3.206776; -2.552337; 0.074816; -0.002460; 0.004086; 0; 1; 61952790; 0; -1; -389.514; 0.0737822; 447.749; 179.982; 0.00598487; 89.9454
2453; -0.000110545; 0.352829; -0.000190826; 1.17396; 0.000170739; 1.61488; 1.57147; -0.181057; -3.206663; -2.590434; 0.074587; -0.003146; 0.004088; 0; 1; 61953077; 0; -1; -389.562; 0.0737596; 448.259; 179.996; 0.00599228; 89.9454
2515; -0.000110545; 0.353082; -0.000190826; 1.17134; 0.000170739; 1.61719; 1.57147; -0.193695; -3.213882; -2.597885; 0.074938; -0.003253; 0.004092; 0; 1; 61953364; 0; -1; -389.62; 0.073725; 448.885; 179.999; 0.00599087; 89.9455
2546; -0.000110545; 0.353145; -0.000190826; 1.16896; 0.000170739; 1.61959; 1.57147; -0.172756; -3.206742; -2.567656; 0.074593; -0.002484; 0.004087; 0; 1; 61953651; 0; -1; -389.594; 0.0736758; 449.516; 179.994; 0.0059857; 89.9455
2578; -0.000110545; 0.353155; -0.000190826; 1.16697; 0.000170739; 1.62126; 1.57147; -0.164316; -3.206750; -2.582889; 0.074589; -0.002333; 0.004085; 0; 1; 61953938; 0; -1; -389.622; 0.0736499; 450.061; -179.988; 0.00599634; 89.9455
2656; -0.000110545; 0.353261; -0.000190826; 1.16295; 0.000170739; 1.62461; 1.57147; -0.155973; -3.206768; -2.575230; 0.074811; -0.001802; 0.004084; 0; 1; 61954225; 0; -1; -389.696; 0.0736003; 451.132; -179.955; 0.00601535; 89.9455
2671; -0.000110545; 0.353261; -0.000190826; 1.16295; 0.000170739; 1.62461; 1.57147; -0.164316; -3.206750; -2.582889; 0.074589; -0.002333; 0.004085; 0; 1; 61954512; 0; -1; -389.696; 0.0736003; 451.132; -179.955; 0.00601535; 89.9455
2703; -0.000110545; 0.353566; -0.000190826; 1.16037; 0.000170739; 1.62691; 1.57147; -0.164316; -3.206750; -2.582889; 0.074589; -0.002333; 0.004085; 0; 1; 61954512; 0; -1; -389.75; 0.0735643; 451.726; -179.957; 0.00600986; 89.9456
2734; -0.000110545; 0.353703; -0.000190826; 1.1591; 0.000170739; 1.62856; 1.57147; -0.185259; -3.204166; -2.621013; 0.074389; -0.002968; 0.004220; 0; 1; 61954803; 0; -1; -389.686; 0.0735217; 452.023; -179.986; 0.00598819; 89.9456
2781; -0.000110545; 0.353924; -0.000190826; 1.15746; 0.000170739; 1.63024; 1.57147; -0.172759; -3.206760; -2.575373; 0.074371; -0.002355; 0.004086; 0; 1; 61955092; 0; -1; -389.685; 0.0734882; 452.388; 179.998; 0.0059746; 89.9456
2828; -0.000110545; 0.354129; -0.000190826; 1.15577; 0.000170739; 1.63192; 1.57147; -0.164366; -3.206764; -2.575302; 0.074591; -0.002079; 0.004085; 0; 1; 61955379; 0; -1; -389.691; 0.0734566; 452.775; 179.987; 0.00596448; 89.9456
2859; -0.000110545; 0.354282; -0.000190826; 1.15385; 0.000170739; 1.63359; 1.57147; -0.172808; -3.206773; -2.567785; 0.074373; -0.002101; 0.004086; 0; 1; 61955666; 0; -1; -389.723; 0.0734296; 453.245; 179.992; 0.00596517; 89.9456
2890; -0.000110545; 0.354487; -0.000190826; 1.15191; 0.000170739; 1.63519; 1.57147; -0.172766; -3.206711; -2.582904; 0.074589; -0.002231; 0.004087; 0; 1; 61955954; 0; -1; -389.779; 0.0734077; 453.701; -180; 0.00596732; 89.9456
2937; -0.000110545; 0.354677; -0.000190826; 1.14992; 0.000170739; 1.63697; 1.57147; -0.193720; -3.209056; -2.590438; 0.074559; -0.002993; 0.003959; 0; 1; 61956240; 0; -1; -389.808; 0.0733779; 454.176; -179.999; 0.00596491; 89.9457
2984; -0.000110545; 0.354861; -0.000190826; 1.14724; 0.000170739; 1.63933; 1.57147; -0.185371; -3.199379; -2.575426; 0.074239; -0.002580; 0.004088; 0; 1; 61956531; 0; -1; -389.842; 0.0733383; 454.842; -179.991; 0.0059666; 89.9457
3015; -0.000110545; 0.354951; -0.000190826; 1.14543; 0.000170739; 1.64096; 1.57147; -0.206352; -3.206581; -2.590536; 0.074368; -0.003218; 0.004093; 0; 1; 61956821; 0; -1; -389.852; 0.0733089; 455.309; -179.986; 0.00596816; 89.9457
3062; -0.000110545; 0.355082; -0.000190826; 1.14387; 0.000170739; 1.64266; 1.57147; -0.193739; -3.213961; -2.590483; 0.074500; -0.002994; 0.004090; 0; 1; 61957109; 0; -1; -389.818; 0.0732705; 455.687; 179.999; 0.00595542; 89.9457
3124; -0.000110545; 0.355319; -0.000190826; 1.13914; 0.000170739; 1.64675; 1.57147; -0.185368; -3.199362; -2.567709; 0.074461; -0.002708; 0.004089; 0; 1; 61957394; 0; -1; -389.869; 0.0732008; 456.899; -179.978; 0.00596538; 89.9458
3140; -0.000110545; 0.355319; -0.000190826; 1.13914; 0.000170739; 1.64675; 1.57147; -0.189607; -3.206650; -2.575274; 0.074591; -0.002534; 0.004090; 0; 1; 61957683; 0; -1; -389.869; 0.0732008; 456.899; -179.978; 0.00596538; 89.9458
